# Simple Labels + No LDCA PRM Training Progress
# Model: AdaptivePRM
# Loss: 50% ListNet + 50% MSE
# Weighting: Uniform (no LDCA)
# Metrics: ranking_accuracy, spearman, loss
# Format: {metrics_dict}

{'train/listnet_loss': 0.28208574652671814, 'train/mse_loss': 0.006241501308977604, 'train/n_groups': 2, 'train/total_loss': 0.14416362345218658, 'epoch': 0.35791792894519414}
{'train/listnet_loss': 0.26838719844818115, 'train/mse_loss': 0.007306164130568504, 'train/n_groups': 2, 'train/total_loss': 0.1378466784954071, 'epoch': 0.36067199118700083}
{'train/listnet_loss': 0.279269814491272, 'train/mse_loss': 0.0066184294410049915, 'train/n_groups': 2, 'train/total_loss': 0.1429441273212433, 'epoch': 0.3634260534288075}
{'train/listnet_loss': 0.3242672085762024, 'train/mse_loss': 0.00245284428820014, 'train/n_groups': 3, 'train/total_loss': 0.16336002945899963, 'epoch': 0.36618011567061415}
{'train/listnet_loss': 0.2594897150993347, 'train/mse_loss': 0.004445548169314861, 'train/n_groups': 2, 'train/total_loss': 0.13196763396263123, 'epoch': 0.36893417791242084}
{'train/listnet_loss': 0.2765437066555023, 'train/mse_loss': 0.002793180290609598, 'train/n_groups': 2, 'train/total_loss': 0.13966844975948334, 'epoch': 0.37168824015422747}
{'train/listnet_loss': 0.26428115367889404, 'train/mse_loss': 0.005525494460016489, 'train/n_groups': 2, 'train/total_loss': 0.13490332663059235, 'epoch': 0.37444230239603415}
{'train/listnet_loss': 0.27210772037506104, 'train/mse_loss': 0.00987730361521244, 'train/n_groups': 2, 'train/total_loss': 0.14099250733852386, 'epoch': 0.37719636463784084}
{'train/listnet_loss': 0.27164727449417114, 'train/mse_loss': 0.0025290902704000473, 'train/n_groups': 2, 'train/total_loss': 0.13708817958831787, 'epoch': 0.3799504268796475}
{'train/listnet_loss': 0.34414926171302795, 'train/mse_loss': 0.0037324093282222748, 'train/n_groups': 4, 'train/total_loss': 0.17394083738327026, 'epoch': 0.38270448912145416}
{'train/listnet_loss': 0.31481292843818665, 'train/mse_loss': 0.004358275327831507, 'train/n_groups': 3, 'train/total_loss': 0.1595855951309204, 'epoch': 0.3854585513632608}
